EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -7867794.031516  25399272.205786        0.000000 || -19599786.657767  16530866.461692  -7043012.743258 ||       -0.268485         2.440931  20213308.917091 
 -7978733.751942  25365087.831574        0.000000 || -19627018.676504  16537419.122523  -6952825.298108 ||       -0.264960         2.441420  20213696.819526 
 -8089521.228309  25330419.460210        0.000000 || -19653941.723503  16543853.875443  -6862505.184740 ||       -0.261434         2.441903  20214084.576617 
 -8200154.354065  25295267.776415        0.000000 || -19680555.950986  16550169.291966  -6772054.132860 ||       -0.257905         2.442382  20214472.183111 
 -8310631.025796  25259633.474032        0.000000 || -19706861.521856  16556363.945992  -6681473.874498 ||       -0.254375         2.442855  20214859.633729 
 -8420949.143265  25223517.256013        0.000000 || -19732858.609683  16562436.413873  -6590766.143975 ||       -0.250843         2.443324  20215246.923171 
 -8531106.609449  25186919.834407        0.000000 || -19758547.398691  16568385.274476  -6499932.677867 ||       -0.247310         2.443788  20215634.046117 
 -8641101.330578  25149841.930338        0.000000 || -19783928.083744  16574209.109256  -6408975.214977 ||       -0.243775         2.444247  20216020.997221 
 -8750931.216176  25112284.273997        0.000000 || -19809000.870328  16579906.502314  -6317895.496298 ||       -0.240239         2.444701  20216407.771117 
 -8860594.179100  25074247.604621        0.000000 || -19833765.974535  16585476.040469  -6226695.264980 ||       -0.236701         2.445151  20216794.362417 
 -8970088.135576  25035732.670480        0.000000 || -19858223.623050  16590916.313321  -6135376.266297 ||       -0.233162         2.445596  20217180.765709 
 -9079411.005240  24996740.228861        0.000000 || -19882374.053129  16596225.913320  -6043940.247615 ||       -0.229621         2.446036  20217566.975561 
 -9188560.711175  24957271.046052        0.000000 || -19906217.512586  16601403.435826  -5952388.958358 ||       -0.226079         2.446472  20217952.986517 
 -9297535.179951  24917325.897324        0.000000 || -19929754.259775  16606447.479181  -5860724.149974 ||       -0.222535         2.446904  20218338.793097 
 -9406332.341662  24876905.566918        0.000000 || -19952984.563567  16611356.644769  -5768947.575900 ||       -0.218990         2.447332  20218724.389802 
 -9514950.129966  24836010.848024        0.000000 || -19975908.703338  16616129.537086  -5677060.991532 ||       -0.215444         2.447755  20219109.771108 
 -9623386.482123  24794642.542770        0.000000 || -19998526.968947  16620764.763801  -5585066.154192 ||       -0.211896         2.448174  20219494.931470 
 -9731639.339029  24752801.462200        0.000000 || -20020839.660716  16625260.935824  -5492964.823088 ||       -0.208347         2.448589  20219879.865318 
 -9839706.645262  24710488.426260        0.000000 || -20042847.089410  16629616.667370  -5400758.759288 ||       -0.204797         2.449001  20220264.567063 
 -9947586.349114  24667704.263782        0.000000 || -20064549.576219  16633830.576023  -5308449.725685 ||       -0.201245         2.449408  20220649.031090 
