EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
  2126177.265209  -26466292.126489        0.000000 || 16208625.460226  17690579.564205  11371416.097407 ||        0.443208         0.829087  20177343.537642 
  2242002.635610  -26456285.603760        0.000000 || 16218982.250336  17732731.338443  11289662.431078 ||        0.439808         0.829954  20176842.580486 
  2357785.035773  -26445772.019913        0.000000 || 16229289.614384  17774582.919631  11207692.387363 ||        0.436404         0.830812  20176342.042967 
  2473522.244344  -26434751.550982        0.000000 || 16239546.074076  17816133.908373  11125507.526504 ||        0.432997         0.831660  20175841.937924 
  2589212.040609  -26423224.382743        0.000000 || 16249750.150109  17857383.915989  11043109.413026 ||        0.429585         0.832498  20175342.278175 
  2704852.204545  -26411190.710718        0.000000 || 16259900.362243  17898332.564530  10960499.615701 ||        0.426170         0.833327  20174843.076513 
  2820440.516854  -26398650.740168        0.000000 || 16269995.229369  17938979.486787  10877679.707523 ||        0.422752         0.834147  20174344.345713 
  2935974.759015  -26385604.686093        0.000000 || 16280033.269576  17979324.326302  10794651.265675 ||        0.419330         0.834958  20173846.098523 
  3051452.713320  -26372052.773231        0.000000 || 16290013.000220  18019366.737377  10711415.871503 ||        0.415905         0.835760  20173348.347670 
  3166872.162919  -26357995.236053        0.000000 || 16299932.937998  18059106.385083  10627975.110484 ||        0.412476         0.836553  20172851.105855 
  3282230.891864  -26343432.318762        0.000000 || 16309791.599009  18098542.945271  10544330.572198 ||        0.409043         0.837337  20172354.385756 
  3397526.685151  -26328364.275292        0.000000 || 16319587.498828  18137676.104577  10460483.850297 ||        0.405608         0.838113  20171858.200025 
  3512757.328763  -26312791.369301        0.000000 || 16329319.152575  18176505.560434  10376436.542475 ||        0.402169         0.838880  20171362.561289 
  3627920.609712  -26296713.874172        0.000000 || 16338985.074983  18215031.021074  10292190.250438 ||        0.398727         0.839638  20170867.482147 
  3743014.316084  -26280132.073005        0.000000 || 16348583.780466  18253252.205541  10207746.579876 ||        0.395281         0.840388  20170372.975175 
  3858036.237079  -26263046.258618        0.000000 || 16358113.783192  18291168.843693  10123107.140429 ||        0.391833         0.841130  20169879.052920 
  3972984.163055  -26245456.733543        0.000000 || 16367573.597146  18328780.676211  10038273.545660 ||        0.388381         0.841863  20169385.727900 
  4087855.885574  -26227363.810017        0.000000 || 16376961.736207  18366087.454602   9953247.413025 ||        0.384926         0.842588  20168893.012608 
  4202649.197438  -26208767.809984        0.000000 || 16386276.714212  18403088.941207   9868030.363839 ||        0.381468         0.843305  20168400.919507 
  4317361.892739  -26189669.065087        0.000000 || 16395517.045024  18439784.909205   9782624.023250 ||        0.378007         0.844015  20167909.461031 
  4431991.766898  -26170067.916667        0.000000 || 16404681.242608  18476175.142614   9697030.020202 ||        0.374543         0.844716  20167418.649585 
  4546536.616706  -26149964.715753        0.000000 || 16413767.821094  18512259.436299   9611249.987414 ||        0.371076         0.845410  20166928.497544 
  4660994.240373  -26129359.823063        0.000000 || 16422775.294850  18548037.595974   9525285.561339 ||        0.367606         0.846096  20166439.017252 
  4775362.437565  -26108253.608993        0.000000 || 16431702.178550  18583509.438206   9439138.382140 ||        0.364133         0.846774  20165950.221024 
  4889639.009449  -26086646.453619        0.000000 || 16440546.987242  18618674.790412   9352810.093657 ||        0.360657         0.847446  20165462.121141 
  5003821.758735  -26064538.746685        0.000000 || 16449308.236421  18653533.490870   9266302.343374 ||        0.357178         0.848109  20164974.729855 
  5117908.489721  -26041930.887599        0.000000 || 16457984.442096  18688085.388712   9179616.782392 ||        0.353697         0.848766  20164488.059383 
  5231897.008333  -26018823.285431        0.000000 || 16466574.120860  18722330.343932   9092755.065393 ||        0.350213         0.849415  20164002.121912 
  5345785.122170  -25995216.358903        0.000000 || 16475075.789959  18756268.227379   9005718.850615 ||        0.346726         0.850057  20163516.929594 
  5459570.640544  -25971110.536382        0.000000 || 16483487.967362  18789898.920765   8918509.799812 ||        0.343236         0.850692  20163032.494549 
  5573251.374524  -25946506.255879        0.000000 || 16491809.171831  18823222.316660   8831129.578232 ||        0.339744         0.851320  20162548.828861 
  5686825.136981  -25921403.965037        0.000000 || 16500037.922989  18856238.318493   8743579.854578 ||        0.336249         0.851941  20162065.944581 
  5800289.742628  -25895804.121126        0.000000 || 16508172.741389  18888946.840549   8655862.300980 ||        0.332752         0.852556  20161583.853723 
  5913643.008062  -25869707.191038        0.000000 || 16516212.148588  18921347.807970   8567978.592963 ||        0.329252         0.853164  20161102.568270 
  6026882.751808  -25843113.651275        0.000000 || 16524154.667210  18953441.156749   8479930.409417 ||        0.325749         0.853765  20160622.100163 
  6140006.794363  -25816023.987949        0.000000 || 16531998.821019  18985226.833731   8391719.432558 ||        0.322244         0.854360  20160142.461312 
  6253012.958236  -25788438.696767        0.000000 || 16539743.134988  19016704.796610   8303347.347906 ||        0.318737         0.854949  20159663.663587 
  6365899.067992  -25760358.283029        0.000000 || 16547386.135368  19047875.013923   8214815.844246 ||        0.315227         0.855531  20159185.718823 
  6478662.950293  -25731783.261615        0.000000 || 16554926.349757  19078737.465045   8126126.613598 ||        0.311714         0.856107  20158708.638815 
  6591302.433943  -25702714.156982        0.000000 || 16562362.307169  19109292.140191   8037281.351187 ||        0.308200         0.856676  20158232.435321 
  6703815.349928  -25673151.503153        0.000000 || 16569692.538106  19139539.040403   7948281.755405 ||        0.304683         0.857240  20157757.120062 
  6816199.531461  -25643095.843707        0.000000 || 16576915.574622  19169478.177550   7859129.527787 ||        0.301163         0.857798  20157282.704718 
  6928452.814022  -25612547.731774        0.000000 || 16584029.950397  19199109.574321   7769826.372970 ||        0.297642         0.858350  20156809.200930 
  7040573.035401  -25581507.730024        0.000000 || 16591034.200804  19228433.264217   7680373.998667 ||        0.294118         0.858896  20156336.620300 
  7152558.035741  -25549976.410659        0.000000 || 16597926.862978  19257449.291548   7590774.115633 ||        0.290592         0.859436  20155864.974389 
  7264405.657581  -25517954.355400        0.000000 || 16604706.475885  19286157.711420   7501028.437629 ||        0.287064         0.859971  20155394.274718 
  7376113.745897  -25485442.155484        0.000000 || 16611371.580391  19314558.589734   7411138.681393 ||        0.283534         0.860500  20154924.532766 
  7487680.148145  -25452440.411648        0.000000 || 16617920.719332  19342652.003172   7321106.566608 ||        0.280001         0.861024  20154455.759971 
  7599102.714301  -25418949.734126        0.000000 || 16624352.437581  19370438.039193   7230933.815864 ||        0.276467         0.861542  20153987.967730 
  7710379.296908  -25384970.742631        0.000000 || 16630665.282119  19397916.796021   7140622.154632 ||        0.272930         0.862055  20153521.167396 
  7821507.751112  -25350504.066352        0.000000 || 16636857.802100  19425088.382636   7050173.311225 ||        0.269391         0.862562  20153055.370280 
  7932485.934712  -25315550.343939        0.000000 || 16642928.548925  19451952.918768   6959589.016769 ||        0.265851         0.863065  20152590.587651 
  8043311.708193  -25280110.223494        0.000000 || 16648876.076305  19478510.534878   6868871.005169 ||        0.262308         0.863562  20152126.830732 
  8153982.934776  -25244184.362560        0.000000 || 16654698.940334  19504761.372156   6778021.013073 ||        0.258764         0.864055  20151664.110704 
  8264497.480454  -25207773.428112        0.000000 || 16660395.699553  19530705.582505   6687040.779843 ||        0.255217         0.864542  20151202.438704 
  8374853.214039  -25170878.096543        0.000000 || 16665964.915024  19556343.328531   6595932.047521 ||        0.251669         0.865025  20150741.825821 
  8485048.007200  -25133499.053652        0.000000 || 16671405.150392  19581674.783530   6504696.560792 ||        0.248119         0.865503  20150282.283104 
  8595079.734508  -25095636.994637        0.000000 || 16676714.971959  19606700.131474   6413336.066955 ||        0.244567         0.865976  20149823.821552 
  8704946.273475  -25057292.624080        0.000000 || 16681892.948746  19631419.567000   6321852.315886 ||        0.241013         0.866445  20149366.452120 
  8814645.504598  -25018466.655934        0.000000 || 16686937.652567  19655833.295397   6230247.060009 ||        0.237457         0.866909  20148910.185716 
  8924175.311400  -24979159.813514        0.000000 || 16691847.658092  19679941.532589   6138522.054257 ||        0.233900         0.867368  20148455.033202 
  9033533.580471  -24939372.829482        0.000000 || 16696621.542919  19703744.505123   6046679.056042 ||        0.230341         0.867823  20148001.005394 
  9142718.201512  -24899106.445838        0.000000 || 16701257.887639  19727242.450154   5954719.825220 ||        0.226781         0.868274  20147548.113057 
  9251727.067374  -24858361.413902        0.000000 || 16705755.275901  19750435.615428   5862646.124057 ||        0.223218         0.868721  20147096.366912 
  9360558.074101  -24817138.494307        0.000000 || 16710112.294487  19773324.259266   5770459.717196 ||        0.219654         0.869163  20146645.777629 
  9469209.120970  -24775438.456982        0.000000 || 16714327.533372  19795908.650552   5678162.371624 ||        0.216089         0.869602  20146196.355832 
  9577678.110537  -24733262.081139        0.000000 || 16718399.585796  19818189.068709   5585755.856634 ||        0.212522         0.870036  20145748.112094 
  9685962.948673  -24690610.155261        0.000000 || 16722327.048326  19840165.803690   5493241.943795 ||        0.208953         0.870467  20145301.056938 
  9794061.544607  -24647483.477090        0.000000 || 16726108.520931  19861839.155952   5400622.406918 ||        0.205383         0.870893  20144855.200841 
  9901971.810969  -24603882.853609        0.000000 || 16729742.607040  19883209.436447   5307899.022019 ||        0.201811         0.871316  20144410.554226 
 10009691.663831  -24559809.101030        0.000000 || 16733227.913614  19904276.966594   5215073.567285 ||        0.198238         0.871735  20143967.127469 
 10117219.022747  -24515263.044781        0.000000 || 16736563.051213  19925042.078267   5122147.823045 ||        0.194663         0.872150  20143524.930891 
 10224551.810795  -24470245.519489        0.000000 || 16739746.634058  19945505.113773   5029123.571728 ||        0.191087         0.872562  20143083.974767 
 10331687.954616  -24424757.368970        0.000000 || 16742777.280104  19965666.425833   4936002.597834 ||        0.187510         0.872971  20142644.269317 
 10438625.384461  -24378799.446208        0.000000 || 16745653.611098  19985526.377561   4842786.687898 ||        0.183931         0.873375  20142205.824710 
 10545362.034223  -24332372.613345        0.000000 || 16748374.252654  20005085.342441   4749477.630456 ||        0.180351         0.873777  20141768.651064 
 10651895.841488  -24285477.741664        0.000000 || 16750937.834312  20024343.704311   4656077.216008 ||        0.176770         0.874175  20141332.758443 
 10758224.747568  -24238115.711574        0.000000 || 16753342.989605  20043301.857337   4562587.236988 ||        0.173187         0.874570  20140898.156860 
 10864346.697544  -24190287.412594        0.000000 || 16755588.356129  20061960.205995   4469009.487726 ||        0.169603         0.874962  20140464.856274 
 10970259.640311  -24141993.743339        0.000000 || 16757672.575604  20080319.165041   4375345.764413 ||        0.166018         0.875351  20140032.866589 
 11075961.528613  -24093235.611500        0.000000 || 16759594.293939  20098379.159499   4281597.865069 ||        0.162432         0.875737  20139602.197658 
 11181450.319086  -24044013.933835        0.000000 || 16761352.161302  20116140.624626   4187767.589505 ||        0.158844         0.876120  20139172.859278 
 11286723.972298  -23994329.636144        0.000000 || 16762944.832178  20133604.005898   4093856.739292 ||        0.155256         0.876500  20138744.861193 
 11391780.452793  -23944183.653262        0.000000 || 16764370.965440  20150769.758980   3999867.117724 ||        0.151666         0.876877  20138318.213091 
 11496617.729126  -23893576.929033        0.000000 || 16765629.224412  20167638.349702   3905800.529780 ||        0.148075         0.877251  20137892.924606 
 11601233.773907  -23842510.416301        0.000000 || 16766718.276931  20184210.254037   3811658.782095 ||        0.144483         0.877623  20137469.005317 
 11705626.563840  -23790985.076888        0.000000 || 16767636.795413  20200485.958071   3717443.682922 ||        0.140890         0.877992  20137046.464744 
 11809794.079764  -23739001.881580        0.000000 || 16768383.456919  20216465.957979   3623157.042095 ||        0.137296         0.878359  20136625.312357 
 11913734.306694  -23686561.810107        0.000000 || 16768956.943215  20232150.760002   3528800.671000 ||        0.133701         0.878723  20136205.557564 
 12017445.233857  -23633665.851127        0.000000 || 16769355.940840  20247540.880413   3434376.382532 ||        0.130105         0.879085  20135787.209720 
 12120924.854739  -23580315.002208        0.000000 || 16769579.141165  20262636.845496   3339885.991065 ||        0.126508         0.879445  20135370.278123 
 12224171.167118  -23526510.269811        0.000000 || 16769625.240462  20277439.191516   3245331.312415 ||        0.122910         0.879802  20134954.772011 
 12327182.173110  -23472252.669270        0.000000 || 16769492.939962  20291948.464689   3150714.163808 ||        0.119311         0.880157  20134540.700569 
 12429955.879202  -23417543.224774        0.000000 || 16769180.945921  20306165.221157   3056036.363838 ||        0.115712         0.880510  20134128.072920 
 12532490.296300  -23362382.969351        0.000000 || 16768687.969681  20320090.026957   2961299.732439 ||        0.112111         0.880861  20133716.898133 
 12634783.439762  -23306772.944848        0.000000 || 16768012.727735  20333723.457991   2866506.090842 ||        0.108510         0.881210  20133307.185216 
 12736833.329441  -23250714.201909        0.000000 || 16767153.941787  20347066.099999   2771657.261549 ||        0.104907         0.881557  20132898.943119 
 12838637.989722  -23194207.799960        0.000000 || 16766110.338816  20360118.548523   2676755.068289 ||        0.101304         0.881903  20132492.180734 
 12940195.449566  -23137254.807191        0.000000 || 16764880.651137  20372881.408885   2581801.335986 ||        0.097701         0.882246  20132086.906894 
 13041503.742544  -23079856.300531        0.000000 || 16763463.616463  20385355.296147   2486797.890724 ||        0.094096         0.882588  20131683.130373 
 13142560.906881  -23022013.365632        0.000000 || 16761857.977967  20397540.835086   2391746.559712 ||        0.090491         0.882928  20131280.859884 
 13243364.985491  -22963727.096852        0.000000 || 16760062.484341  20409438.660160   2296649.171244 ||        0.086885         0.883266  20130880.104081 
 13343914.026019  -22904998.597228        0.000000 || 16758075.889863  20421049.415472   2201507.554669 ||        0.083278         0.883604  20130480.871559 
 13444206.080881  -22845828.978463        0.000000 || 16755896.954450  20432373.754745   2106323.540353 ||        0.079671         0.883939  20130083.170850 
 13544239.207299  -22786219.360900        0.000000 || 16753524.443725  20443412.341281   2011098.959641 ||        0.076064         0.884273  20129687.010430 
 13644011.467344  -22726170.873507        0.000000 || 16750957.129075  20454165.847933   1915835.644826 ||        0.072455         0.884606  20129292.398710 
 13743520.927973  -22665684.653851        0.000000 || 16748193.787712  20464634.957068   1820535.429108 ||        0.068846         0.884938  20128899.344042 
 13842765.661067  -22604761.848081        0.000000 || 16745233.202731  20474820.360534   1725200.146564 ||        0.065237         0.885268  20128507.854716 
 13941743.743472  -22543403.610906        0.000000 || 16742074.163173  20484722.759623   1629831.632106 ||        0.061627         0.885598  20128117.938961 
 14040453.257034  -22481611.105571        0.000000 || 16738715.464081  20494342.865041   1534431.721450 ||        0.058016         0.885926  20127729.604945 
 14138892.288642  -22419385.503843        0.000000 || 16735155.906562  20503681.396867   1439002.251077 ||        0.054405         0.886254  20127342.860773 
 14237058.930263  -22356727.985980        0.000000 || 16731394.297846  20512739.084517   1343545.058201 ||        0.050794         0.886580  20126957.714488 
 14334951.278982  -22293639.740716        0.000000 || 16727429.451342  20521516.666715   1248061.980727 ||        0.047182         0.886906  20126574.174071 
 14432567.437037  -22230121.965236        0.000000 || 16723260.186700  20530014.891445   1152554.857220 ||        0.043569         0.887230  20126192.247441 
 14529905.511864  -22166175.865157        0.000000 || 16718885.329868  20538234.515923   1057025.526869 ||        0.039957         0.887555  20125811.942454 
 14626963.616128  -22101802.654502        0.000000 || 16714303.713149  20546176.306556    961475.829447 ||        0.036344         0.887878  20125433.266901 
 14723739.867765  -22037003.555678        0.000000 || 16709514.175260  20553841.038903    865907.605279 ||        0.032730         0.888201  20125056.228514 
 14820232.390017  -21971779.799458        0.000000 || 16704515.561388  20561229.497639    770322.695203 ||        0.029117         0.888523  20124680.834958 
 14916439.311472  -21906132.624953        0.000000 || 16699306.723251  20568342.476513    674722.940538 ||        0.025503         0.888845  20124307.093836 
 15012358.766103  -21840063.279590        0.000000 || 16693886.519151  20575180.778314    579110.183043 ||        0.021889         0.889167  20123935.012687 
 15107988.893302  -21773573.019092        0.000000 || 16688253.814031  20581745.214826    483486.264883 ||        0.018274         0.889488  20123564.598987 
 15203327.837918  -21706663.107451        0.000000 || 16682407.479535  20588036.606791    387853.028594 ||        0.014659         0.889809  20123195.860147 
 15298373.750297  -21639334.816906        0.000000 || 16676346.394059  20594055.783868    292212.317045 ||        0.011044         0.890129  20122828.803513 
 15393124.786318  -21571589.427920        0.000000 || 16670069.442814  20599803.584593    196565.973404 ||        0.007429         0.890450  20122463.436369 
 15487579.107429  -21503428.229156        0.000000 || 16663575.517872  20605280.856337    100915.841098 ||        0.003814         0.890770  20122099.765932 
 15581734.880685  -21434852.517451        0.000000 || 16656863.518232  20610488.455265      5263.763781 ||        0.000199         0.891091  20121737.799356 
 15675590.278785  -21365863.597794        0.000000 || 16649932.349865  20615427.246295    -90388.414705 ||       -0.003416         0.891412  20121377.543728 
 15769143.480111  -21296462.783302        0.000000 || 16642780.925778  20620098.103055   -186038.850364 ||       -0.007032         0.891732  20121019.006073 
 15862392.668758  -21226651.395194        0.000000 || 16635408.166061  20624501.907839   -281685.699084 ||       -0.010647         0.892053  20120662.193347 
 15955336.034581  -21156430.762765        0.000000 || 16627812.997946  20628639.551566   -377327.116674 ||       -0.014263         0.892374  20120307.112445 
 16047971.773221  -21085802.223366        0.000000 || 16619994.355858  20632511.933738   -472961.258899 ||       -0.017879         0.892696  20119953.770192 
 16140298.086149  -21014767.122374        0.000000 || 16611951.181471  20636119.962392   -568586.281514 ||       -0.021494         0.893018  20119602.173351 
 16232313.180698  -20943326.813169        0.000000 || 16603682.423759  20639464.554061   -664200.340306 ||       -0.025110         0.893340  20119252.328618 
 16324015.270104  -20871482.657108        0.000000 || 16595187.039052  20642546.633726   -759801.591124 ||       -0.028725         0.893663  20118904.242622 
 16415402.573535  -20799236.023501        0.000000 || 16586463.991085  20645367.134772   -855388.189922 ||       -0.032341         0.893986  20118557.921926 
 16506473.316133  -20726588.289583        0.000000 || 16577512.251053  20647926.998943   -950958.292788 ||       -0.035956         0.894310  20118213.373030 
 16597225.729049  -20653540.840490        0.000000 || 16568330.797662  20650227.176299  -1046510.055987 ||       -0.039571         0.894635  20117870.602363 
 16687658.049477  -20580095.069232        0.000000 || 16558918.617183  20652268.625166  -1142041.635992 ||       -0.043186         0.894961  20117529.616291 
 16777768.520689  -20506252.376665        0.000000 || 16549274.703501  20654052.312093  -1237551.189526 ||       -0.046801         0.895287  20117190.421112 
 16867555.392074  -20432014.171469        0.000000 || 16539398.058164  20655579.211803  -1333036.873591 ||       -0.050415         0.895615  20116853.023057 
 16957016.919171  -20357381.870120        0.000000 || 16529287.690441  20656850.307148  -1428496.845513 ||       -0.054030         0.895943  20116517.428293 
 17046151.363705  -20282356.896858        0.000000 || 16518942.617365  20657866.589063  -1523929.262970 ||       -0.057644         0.896272  20116183.642917 
 17134956.993622  -20206940.683667        0.000000 || 16508361.863789  20658629.056513  -1619332.284036 ||       -0.061258         0.896603  20115851.672959 
 17223432.083124  -20131134.670247        0.000000 || 16497544.462431  20659138.716453  -1714704.067211 ||       -0.064871         0.896935  20115521.524385 
 17311574.912704  -20054940.303983        0.000000 || 16486489.453927  20659396.583771  -1810042.771461 ||       -0.068484         0.897267  20115193.203091 
 17399383.769183  -19978359.039918        0.000000 || 16475195.886880  20659403.681247  -1905346.556254 ||       -0.072097         0.897602  20114866.714907 
 17486856.945741  -19901392.340732        0.000000 || 16463662.817906  20659161.039500  -2000613.581596 ||       -0.075710         0.897937  20114542.065595 
 17573992.741954  -19824041.676706        0.000000 || 16451889.311686  20658669.696940  -2095842.008067 ||       -0.079322         0.898274  20114219.260850 
 17660789.463828  -19746308.525698        0.000000 || 16439874.441013  20657930.699717  -2191029.996857 ||       -0.082933         0.898613  20113898.306300 
 17747245.423835  -19668194.373115        0.000000 || 16427617.286838  20656945.101674  -2286175.709804 ||       -0.086545         0.898953  20113579.207506 
 17833358.940945  -19589700.711886        0.000000 || 16415116.938322  20655713.964292  -2381277.309429 ||       -0.090155         0.899295  20113261.969958 
 17919128.340659  -19510829.042428        0.000000 || 16402372.492877  20654238.356645  -2476332.958975 ||       -0.093766         0.899638  20112946.599082 
 18004551.955049  -19431580.872627        0.000000 || 16389383.056219  20652519.355344  -2571340.822437 ||       -0.097375         0.899984  20112633.100236 
 18089628.122784  -19351957.717799        0.000000 || 16376147.742410  20650558.044492  -2666299.064607 ||       -0.100985         0.900331  20112321.478708 
 18174355.189171  -19271961.100668        0.000000 || 16362665.673908  20648355.515623  -2761205.851104 ||       -0.104593         0.900680  20112011.739719 
 18258731.506184  -19191592.551337        0.000000 || 16348935.981608  20645912.867661  -2856059.348413 ||       -0.108201         0.901031  20111703.888423 
 18342755.432498  -19110853.607252        0.000000 || 16334957.804893  20643231.206859  -2950857.723919 ||       -0.111809         0.901384  20111397.929906 
 18426425.333526  -19029745.813183        0.000000 || 16320730.291674  20640311.646751  -3045599.145948 ||       -0.115415         0.901739  20111093.869186 
 18509739.581447  -18948270.721186        0.000000 || 16306252.598439  20637155.308099  -3140281.783798 ||       -0.119022         0.902096  20110791.711211 
 18592696.555244  -18866429.890576        0.000000 || 16291523.890294  20633763.318838  -3234903.807780 ||       -0.122627         0.902456  20110491.460863 
 18675294.640734  -18784224.887900        0.000000 || 16276543.341009  20630136.814023  -3329463.389251 ||       -0.126232         0.902818  20110193.122955 
 18757532.230602  -18701657.286902        0.000000 || 16261310.133061  20626276.935779  -3423958.700651 ||       -0.129836         0.903182  20109896.702234 
 18839407.724432  -18618728.668499        0.000000 || 16245823.457678  20622184.833240  -3518387.915540 ||       -0.133439         0.903549  20109602.203375 
 18920919.528745  -18535440.620743        0.000000 || 16230082.514880  20617861.662502  -3612749.208634 ||       -0.137041         0.903918  20109309.630988 
 19002066.057025  -18451794.738800        0.000000 || 16214086.513524  20613308.586562  -3707040.755843 ||       -0.140643         0.904290  20109018.989614 
 19082845.729753  -18367792.624911        0.000000 || 16197834.671345  20608526.775267  -3801260.734303 ||       -0.144244         0.904664  20108730.283726 
 19163256.974444  -18283435.888365        0.000000 || 16181326.214998  20603517.405259  -3895407.322417 ||       -0.147844         0.905042  20108443.517728 
 19243298.225673  -18198726.145469        0.000000 || 16164560.380098  20598281.659917  -3989478.699887 ||       -0.151443         0.905422  20108158.695956 
 19322967.925109  -18113665.019515        0.000000 || 16147536.411263  20592820.729303  -4083473.047754 ||       -0.155041         0.905805  20107875.822678 
 19402264.521549  -18028254.140751        0.000000 || 16130253.562156  20587135.810104  -4177388.548431 ||       -0.158638         0.906191  20107594.902095 
 19481186.470948  -17942495.146346        0.000000 || 16112711.095519  20581228.105579  -4271223.385743 ||       -0.162235         0.906580  20107315.938337 
 19559732.236448  -17856389.680363        0.000000 || 16094908.283222  20575098.825500  -4364975.744959 ||       -0.165830         0.906972  20107038.935470 
 19637900.288415  -17769939.393724        0.000000 || 16076844.406294  20568749.186095  -4458643.812829 ||       -0.169424         0.907367  20106763.897487 
 19715689.104466  -17683145.944179        0.000000 || 16058518.754968  20562180.409990  -4552225.777623 ||       -0.173017         0.907765  20106490.828317 
 19793097.169501  -17596010.996278        0.000000 || 16039930.628717  20555393.726156  -4645719.829165 ||       -0.176609         0.908167  20106219.731818 
 19870122.975735  -17508536.221331        0.000000 || 16021079.336292  20548390.369846  -4739124.158867 ||       -0.180200         0.908572  20105950.611783 
 19946765.022728  -17420723.297383        0.000000 || 16001964.195763  20541171.582538  -4832436.959772 ||       -0.183790         0.908980  20105683.471933 
 20023021.817417  -17332573.909177        0.000000 || 15982584.534552  20533738.611881  -4925656.426580 ||       -0.187379         0.909392  20105418.315924 
 20098891.874143  -17244089.748127        0.000000 || 15962939.689474  20526092.711630  -5018780.755692 ||       -0.190967         0.909808  20105155.147344 
 20174373.714686  -17155272.512278        0.000000 || 15943029.006773  20518235.141594  -5111808.145243 ||       -0.194553         0.910227  20104893.969711 
 20249465.868294  -17066123.906278        0.000000 || 15922851.842157  20510167.167570  -5204736.795140 ||       -0.198138         0.910650  20104634.786476 
 20324166.871710  -16976645.641345        0.000000 || 15902407.560834  20501890.061289  -5297564.907092 ||       -0.201722         0.911077  20104377.601024 
 20398475.269206  -16886839.435233        0.000000 || 15881695.537549  20493405.100355  -5390290.684654 ||       -0.205305         0.911507  20104122.416669 
 20472389.612611  -16796707.012197        0.000000 || 15860715.156619  20484713.568184  -5482912.333257 ||       -0.208886         0.911942  20103869.236661 
 20545908.461341  -16706250.102964        0.000000 || 15839465.811967  20475816.753945  -5575428.060246 ||       -0.212466         0.912381  20103618.064178 
 20619030.382428  -16615470.444694        0.000000 || 15817946.907156  20466715.952499  -5667836.074916 ||       -0.216044         0.912823  20103368.902335 
 20691753.950551  -16524369.780952        0.000000 || 15796157.855423  20457412.464340  -5760134.588548 ||       -0.219622         0.913270  20103121.754175 
 20764077.748062  -16432949.861669        0.000000 || 15774098.079715  20447907.595533  -5852321.814443 ||       -0.223197         0.913721  20102876.622678 
 20836000.365020  -16341212.443112        0.000000 || 15751767.012717  20438202.657652  -5944395.967959 ||       -0.226772         0.914177  20102633.510752 
 20907520.399216  -16249159.287848        0.000000 || 15729164.096891  20428298.967721  -6036355.266546 ||       -0.230345         0.914637  20102392.421242 
 20978636.456202  -16156792.164711        0.000000 || 15706288.784504  20418197.848153  -6128197.929785 ||       -0.233916         0.915101  20102153.356923 
 21049347.149321  -16064112.848765        0.000000 || 15683140.537659  20407900.626683  -6219922.179417 ||       -0.237486         0.915570  20101916.320504 
 21119651.099737  -15971123.121274        0.000000 || 15659718.828330  20397408.636313  -6311526.239384 ||       -0.241054         0.916044  20101681.314626 
 21189546.936460  -15877824.769663        0.000000 || 15636023.138393  20386723.215246  -6403008.335864 ||       -0.244621         0.916522  20101448.341864 
 21259033.296375  -15784219.587484        0.000000 || 15612052.959651  20375845.706824  -6494366.697303 ||       -0.248186         0.917005  20101217.404726 
 21328108.824272  -15690309.374386        0.000000 || 15587807.793872  20364777.459466  -6585599.554456 ||       -0.251749         0.917493  20100988.505653 
 21396772.172872  -15596095.936072        0.000000 || 15563287.152813  20353519.826605  -6676705.140416 ||       -0.255311         0.917986  20100761.647020 
 21465022.002856  -15501581.084272        0.000000 || 15538490.558250  20342074.166626  -6767681.690654 ||       -0.258871         0.918484  20100536.831134 
 21532856.982890  -15406766.636699        0.000000 || 15513417.542011  20330441.842799  -6858527.443054 ||       -0.262429         0.918987  20100314.060237 
 21600275.789657  -15311654.417022        0.000000 || 15488067.645998  20318624.223221  -6949240.637946 ||       -0.265986         0.919495  20100093.336503 
 21667277.107878  -15216246.254827        0.000000 || 15462440.422223  20306622.680749  -7039819.518144 ||       -0.269540         0.920009  20099874.662043 
 21733859.630347  -15120543.985578        0.000000 || 15436535.432826  20294438.592937  -7130262.328978 ||       -0.273093         0.920527  20099658.038899 
 21800022.057949  -15024549.450587        0.000000 || 15410352.250112  20282073.341971  -7220567.318331 ||       -0.276644         0.921052  20099443.469047 
 21865763.099694  -14928264.496974        0.000000 || 15383890.456569  20269528.314609  -7310732.736676 ||       -0.280193         0.921581  20099230.954399 
 21931081.472740  -14831690.977633        0.000000 || 15357149.644902  20256804.902108  -7400756.837107 ||       -0.283741         0.922117  20099020.496800 
 21995975.902421  -14734830.751195        0.000000 || 15330129.418052  20243904.500169  -7490637.875379 ||       -0.287286         0.922658  20098812.098031 
 22060445.122271  -14637685.681991        0.000000 || 15302829.389225  20230828.508867  -7580374.109936 ||       -0.290829         0.923205  20098605.759804 
 22124487.874054  -14540257.640018        0.000000 || 15275249.181920  20217578.332586  -7669963.801955 ||       -0.294370         0.923757  20098401.483771 
 22188102.907785  -14442548.500900        0.000000 || 15247388.429945  20204155.379955  -7759405.215372 ||       -0.297910         0.924316  20098199.271514 
 22251288.981761  -14344560.145851        0.000000 || 15219246.777449  20190561.063784  -7848696.616923 ||       -0.301447         0.924880  20097999.124553 
 22314044.862582  -14246294.461640        0.000000 || 15190823.878943  20176796.800995  -7937836.276176 ||       -0.304982         0.925451  20097801.044341 
